unit_id,unit_name,type,tonnage,Age of War / Star League,Early Succession War,Late Succession War - LosTech,Late Succession War - Renaissance,Clan Invasion,Civil War,Jihad,Early Republic,Dark Age,ilClan
55,Apollo APL-1R,BattleMech,55,,,,,Draconis Combine; Free Worlds League,Draconis Combine; Free Worlds League,Draconis Combine; Free Worlds League,Capellan Confederation; Draconis Combine; Free Worlds League (Duchy of Andurien); Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Non-Aligned Worlds); Free Worlds League (Oriente Protectorate); Free Worlds League (Regulan Fiefs); Free Worlds League (Rim Commonality); Mercenary,Capellan Confederation; Draconis Combine; Free Worlds League; Free Worlds League (Duchy of Andurien); Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Oriente Protectorate); Free Worlds League (Regulan Fiefs); Free Worlds League (Rim Commonality),Draconis Combine; Free Worlds League; Free Worlds League (Duchy of Andurien)
56,Apollo APL-2S,BattleMech,55,,,,,Draconis Combine; Free Worlds League,Draconis Combine; Free Worlds League,Draconis Combine; Free Worlds League,Capellan Confederation; Draconis Combine,Capellan Confederation; Draconis Combine,
57,Apollo APL-3T,BattleMech,55,,,,,Draconis Combine; Free Worlds League,Draconis Combine; Free Worlds League,Draconis Combine; Free Worlds League,Free Worlds League (Duchy of Andurien); Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Non-Aligned Worlds); Free Worlds League (Oriente Protectorate); Free Worlds League (Regulan Fiefs); Free Worlds League (Rim Commonality),Free Worlds League; Free Worlds League (Duchy of Andurien); Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Oriente Protectorate); Free Worlds League (Regulan Fiefs); Free Worlds League (Rim Commonality),Free Worlds League; Free Worlds League (Duchy of Andurien)
3706,Apollo APL-4M,BattleMech,55,,,,,,,,Free Worlds League (Marik-Stewart Commonwealth),Clan Wolf; Free Worlds League; Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Oriente Protectorate),Free Worlds League; Wolf Empire
7414,Apostle Self-Propelled Artillery,Support Vehicle,80,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
3708,Apple-Churchill Surveillance VTOL  ,Support Vehicle,0,,,Capellan Confederation,Capellan Confederation,Capellan Confederation; St. Ives Compact,Capellan Confederation; St. Ives Compact,Capellan Confederation,Capellan Confederation,Capellan Confederation,Capellan Confederation
3707,Apple-Churchill Surveillance VTOL (Personnel),Support Vehicle,0,,,,Capellan Confederation,Capellan Confederation; St. Ives Compact,Capellan Confederation; St. Ives Compact,Capellan Confederation,Capellan Confederation,Capellan Confederation,Capellan Confederation
58,Aquagladius AQS-3,BattleMech,50,,,,,,Solaris 7,Solaris 7,Solaris 7,Solaris 7,
59,Aquagladius AQS-4,BattleMech,50,,,,,,Mercenary; Solaris 7,Mercenary; Solaris 7,Mercenary; Solaris 7,Solaris 7,
8108,Aquagladius AQS-5 MAM,BattleMech,50,,,,,,,,Republic of the Sphere,Republic of the Sphere,Clan Sea Fox
3709,Aquarius Escort  ,Aerospace,200,Free Worlds League,Free Worlds League,Free Worlds League,Free Worlds League,Free Worlds League,Free Worlds League; Word of Blake,Free Worlds League; Word of Blake,Free Worlds League (Duchy of Andurien); Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Non-Aligned Worlds); Free Worlds League (Oriente Protectorate); Free Worlds League (Regulan Fiefs); Free Worlds League (Rim Commonality),Free Worlds League; Free Worlds League (Duchy of Andurien); Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Non-Aligned Worlds); Free Worlds League (Oriente Protectorate); Free Worlds League (Regulan Fiefs); Free Worlds League (Rim Commonality); Scorpion Empire,Free Worlds League; Free Worlds League (Duchy of Andurien); Scorpion Empire
3710,Aquarius Escort M1,Aerospace,200,,,,,,,Free Worlds League,Free Worlds League (Duchy of Andurien); Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Non-Aligned Worlds); Free Worlds League (Oriente Protectorate); Free Worlds League (Regulan Fiefs); Free Worlds League (Rim Commonality),Free Worlds League; Free Worlds League (Duchy of Andurien); Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Non-Aligned Worlds); Free Worlds League (Oriente Protectorate); Free Worlds League (Regulan Fiefs); Free Worlds League (Rim Commonality),Free Worlds League; Free Worlds League (Duchy of Andurien)
3711,Aquarius Escort W1,Aerospace,200,,,,,,,Word of Blake,Extinct,Extinct,
3712,Aqueduct Liquid Carrier  ,Aerospace,45000,Inner Sphere General; Periphery General,Periphery General,Periphery General,Periphery General,Periphery General,,Clan Ghost Bear,,,
6518,Aquila AQA-1M,Aerospace,55,,,,,,,,,Free Worlds League; Free Worlds League (Duchy of Andurien); Free Worlds League (Oriente Protectorate); Free Worlds League (Rim Commonality); Republic of the Sphere,Clan Protectorate; Free Worlds League; Free Worlds League (Duchy of Andurien)
3713,Aquilla Transport JumpShip  ,Advanced Aerospace,100000,Periphery General,Extinct,,,,,,,,
5798,Araña ARA-S-1 MilitiaMech,IndustrialMech,40,,,,,,,,Escorpión Imperio,Escorpión Imperio; Scorpion Empire,Scorpion Empire
62,Arbalest  ,BattleMech,25,,,,,,,Clan Nova Cat; Mercenary,Clan Diamond Shark; Clan Nova Cat; Draconis Combine; Federated Suns; Mercenary; Republic of the Sphere,Clan Nova Cat; Clan Sea Fox; Draconis Combine; Federated Suns; Republic of the Sphere,Clan Protectorate; Clan Sea Fox; Draconis Combine; Federated Suns
60,Arbalest 2,BattleMech,25,,,,,,,Clan Nova Cat; Mercenary,Clan Diamond Shark; Clan Nova Cat; Mercenary; Republic of the Sphere,Clan Nova Cat; Clan Sea Fox; Draconis Combine; Republic of the Sphere,Clan Protectorate; Clan Sea Fox; Draconis Combine
61,Arbalest 3,BattleMech,25,,,,,,,,Clan Nova Cat; Mercenary; Republic of the Sphere,Clan Nova Cat; Republic of the Sphere,Clan Protectorate; Clan Sea Fox; Draconis Combine
3714,Arbiter ARB-001 SecurityMech,IndustrialMech,35,,,,,,,Circinus Federation; Inner Sphere General,Inner Sphere General,Inner Sphere General,Inner Sphere General
3715,Arbiter ARB-001r SecurityMech,IndustrialMech,35,,,,,,,Circinus Federation; Inner Sphere General,Inner Sphere General,Inner Sphere General,Inner Sphere General
3716,Arcadia (3066),Aerospace,3000,,,,,,Clan Blood Spirit,Clan Blood Spirit,,,
5762,Arcadia (3080),Aerospace,3000,,,,,,,Clan Snow Raven,,,
3717,Arcas  ,BattleMech,65,,,,,Clan Ghost Bear,Clan Ghost Bear,Clan Ghost Bear,Clan Diamond Shark; Rasalhague Dominion; Republic of the Sphere,Clan Hell's Horses; Clan Sea Fox; Clan Wolf; Rasalhague Dominion; Raven Alliance; Republic of the Sphere,Clan Hell's Horses; Clan Sea Fox; Rasalhague Dominion; Raven Alliance
3718,Arcas 2,BattleMech,65,,,,,Clan Ghost Bear,Clan Ghost Bear,Clan Ghost Bear,Rasalhague Dominion; Republic of the Sphere,Rasalhague Dominion; Republic of the Sphere,Rasalhague Dominion
5686,Arcas 3,BattleMech,65,,,,,,,Clan Ghost Bear,Rasalhague Dominion,Rasalhague Dominion,Rasalhague Dominion
64,Archangel C-ANG-O (Berith),BattleMech,100,,,,,,,Unique,Extinct,Extinct,
65,Archangel C-ANG-O Invictus,BattleMech,100,,,,,,,Word of Blake,Extinct,Extinct,
66,Archangel C-ANG-OA Dominus,BattleMech,100,,,,,,,Word of Blake,Extinct,Extinct,
67,Archangel C-ANG-OB Infernus,BattleMech,100,,,,,,,Word of Blake,Extinct,Extinct,
68,Archangel C-ANG-OC Comminus,BattleMech,100,,,,,,,Word of Blake,Extinct,Extinct,
69,Archangel C-ANG-OD Luminos,BattleMech,100,,,,,,,Word of Blake,Extinct,Extinct,
70,Archangel C-ANG-OE Eminus,BattleMech,100,,,,,,,Word of Blake,Extinct,Extinct,
71,Archangel C-ANG-OS Caelestis,BattleMech,100,,,,,,,Word of Blake,Extinct,Extinct,
72,Archer (Wolf),BattleMech,70,,,,,Unique; Wolf's Dragoons,Unique; Wolf's Dragoons,Unique; Wolf's Dragoons,Unique; Wolf's Dragoons,Unique; Wolf's Dragoons,Unique; Wolf's Dragoons
3721,Archer ARC-1A,BattleMech,70,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Draconis Combine; Free Worlds League; Lyran Alliance; Mercenary,Draconis Combine; Free Worlds League (Duchy of Tamarind-Abbey); Lyran Commonwealth; Marian Hegemony; Mercenary; Pirates,Extinct,
73,Archer ARC-2K,BattleMech,70,,Draconis Combine,Draconis Combine,Draconis Combine; Free Rasalhague Republic,Draconis Combine; Free Rasalhague Republic,Draconis Combine; Free Rasalhague Republic,Draconis Combine; Free Rasalhague Republic,Draconis Combine,Extinct,
74,Archer ARC-2R,BattleMech,70,Inner Sphere General; Mercenary; Periphery General; Star League General,Inner Sphere General; Mercenary; Periphery General; Star League in Exile,ComStar; Inner Sphere General; Kell Hounds; Mercenary; Periphery General; Wolf's Dragoons,ComStar; Inner Sphere General; Kell Hounds; Mercenary; Periphery General; Wolf's Dragoons,Inner Sphere General; Kell Hounds; Mercenary; Periphery General; Wolf's Dragoons,Inner Sphere General; Kell Hounds; Mercenary; Periphery General; Wolf's Dragoons,Escorpión Imperio; Inner Sphere General; Kell Hounds; Mercenary; Periphery General; Wolf's Dragoons,Escorpión Imperio; Inner Sphere General; Mercenary; Periphery General,Escorpión Imperio; Periphery General; Scorpion Empire,Periphery General; Scorpion Empire
8274,Archer ARC-2R (Ismail),BattleMech,70,,,,Mercenary; Unique,Extinct,Extinct,Extinct,Extinct,Extinct,
3722,Archer ARC-2R (Rubinsky),BattleMech,70,,,,,Mercenary; Unique,Mercenary; Unique,Mercenary; Unique,Extinct,Extinct,
75,Archer ARC-2Rb,BattleMech,70,Inner Sphere General; Star League Regular; Star League Royal,HW Clan General; Star League in Exile,HW Clan General,HW Clan General,HW Clan General; IS Clan General,HW Clan General; IS Clan General,Clan Ghost Bear; Free Worlds League; HW Clan General; Society; Word of Blake,Free Worlds League (Duchy of Andurien); Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Non-Aligned Worlds); Free Worlds League (Oriente Protectorate); Free Worlds League (Regulan Fiefs); Free Worlds League (Rim Commonality); Mercenary; Rasalhague Dominion,Clan Wolf; Free Worlds League; Free Worlds League (Duchy of Andurien); Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Non-Aligned Worlds); Free Worlds League (Oriente Protectorate); Free Worlds League (Regulan Fiefs); Free Worlds League (Rim Commonality); Rasalhague Dominion,Free Worlds League; Free Worlds League (Duchy of Andurien); Rasalhague Dominion; Wolf Empire
76,Archer ARC-2S,BattleMech,70,,,Lyran Commonwealth,Lyran Commonwealth,Federated Commonwealth; Lyran Alliance; Lyran Commonwealth,Lyran Alliance,Lyran Alliance,Extinct,Extinct,
77,Archer ARC-2W,BattleMech,70,,,Wolf's Dragoons,Wolf's Dragoons,Wolf's Dragoons,Wolf's Dragoons,Wolf's Dragoons,Extinct,Extinct,
78,Archer ARC-4M,BattleMech,70,,,,,Capellan Confederation; Draconis Combine; Federated Commonwealth; Federated Suns; Free Worlds League; Kell Hounds; Lyran Alliance; Lyran Commonwealth; Mercenary; Pirates; St. Ives Compact; Wolf's Dragoons; Word of Blake,Capellan Confederation; Draconis Combine; Federated Commonwealth; Federated Suns; Free Worlds League; Kell Hounds; Lyran Alliance; Mercenary; Pirates; St. Ives Compact; Wolf's Dragoons; Word of Blake,Capellan Confederation; Draconis Combine; Federated Suns; Filtvelt Coalition; Free Worlds League; Kell Hounds; Lyran Alliance; Mercenary; Pirates; Wolf's Dragoons; Word of Blake,Capellan Confederation; Draconis Combine; Free Worlds League (Duchy of Andurien); Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Non-Aligned Worlds); Free Worlds League (Oriente Protectorate); Free Worlds League (Regulan Fiefs); Free Worlds League (Rim Commonality); Mercenary; Periphery General; Republic of the Sphere,Free Worlds League; Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Non-Aligned Worlds); Free Worlds League (Regulan Fiefs); Free Worlds League (Rim Commonality); Periphery General,Free Worlds League; Periphery General
8275,Archer ARC-4M (Ismail),BattleMech,70,,,,,Mercenary; Unique,Mercenary; Unique,Extinct,Extinct,Extinct,
7730,Archer ARC-4M2,BattleMech,70,,,,,,,,Inner Sphere General; Mercenary; Periphery General; Raven Alliance,Inner Sphere General; Periphery General; Raven Alliance,Clan Protectorate; Inner Sphere General; Periphery General; Raven Alliance
7598,Archer ARC-5CS,BattleMech,70,,,,,ComStar; Free Rasalhague Republic; Word of Blake,ComStar; Free Rasalhague Republic; Word of Blake,ComStar; Free Rasalhague Republic; Word of Blake,Extinct,Extinct,
79,Archer ARC-5R,BattleMech,70,,,,,Draconis Combine; Free Rasalhague Republic; Kell Hounds; Mercenary; Wolf's Dragoons,Draconis Combine; Free Rasalhague Republic; Kell Hounds; Mercenary; Wolf's Dragoons,Draconis Combine; Free Rasalhague Republic; Kell Hounds; Mercenary; Wolf's Dragoons,Mercenary; Rasalhague Dominion,Rasalhague Dominion,Rasalhague Dominion
80,Archer ARC-5S,BattleMech,70,,,,,Federated Commonwealth; Federated Suns; Lyran Alliance; Lyran Commonwealth,Federated Commonwealth; Federated Suns; Lyran Alliance,Federated Suns; Lyran Alliance,Lyran Commonwealth; Mercenary,Extinct,
81,Archer ARC-5W,BattleMech,70,,,,,Federated Commonwealth; Lyran Alliance; Lyran Commonwealth; Mercenary; Wolf's Dragoons,Lyran Alliance; Mercenary; Wolf's Dragoons,Lyran Alliance; Mercenary; Wolf's Dragoons,Lyran Commonwealth; Mercenary,Lyran Commonwealth; Periphery General,Lyran Commonwealth; Periphery General
82,Archer ARC-6S,BattleMech,70,,,,,,Free Rasalhague Republic; Kell Hounds; Lyran Alliance; Mercenary; Wolf's Dragoons,Free Rasalhague Republic; Kell Hounds; Lyran Alliance; Mercenary; Wolf's Dragoons,Lyran Commonwealth; Mercenary; Rasalhague Dominion; Republic of the Sphere,Lyran Commonwealth; Rasalhague Dominion; Republic of the Sphere,Lyran Commonwealth; Rasalhague Dominion; Tamar Pact; Vesper Marches
83,Archer ARC-6W,BattleMech,70,,,,,,Periphery General,Periphery General,Periphery General,Periphery General,Periphery General
7731,Archer ARC-7C,BattleMech,70,,,,,,,,,Kell Hounds; Lyran Commonwealth; Republic of the Sphere; Wolf's Dragoons,Clan Sea Fox; Kell Hounds; Lyran Commonwealth; Star League (Clan Jade Falcon); Star League (Clan Smoke Jaguar); Star League (Clan Wolf); Wolf's Dragoons
84,Archer ARC-7L,BattleMech,70,,,,,,Capellan Confederation,Capellan Confederation,Capellan Confederation; Magistracy of Canopus,Capellan Confederation; Fronc Reaches; Magistracy of Canopus,Capellan Confederation; Fronc Reaches; Magistracy of Canopus
85,Archer ARC-7S,BattleMech,70,,,,,,,Lyran Alliance; Word of Blake,Lyran Commonwealth,Lyran Commonwealth,Lyran Commonwealth; Tamar Pact
86,Archer ARC-8M,BattleMech,70,,,,,,Capellan Confederation; Free Worlds League; Magistracy of Canopus; Word of Blake,Capellan Confederation; Draconis Combine; Free Rasalhague Republic; Free Worlds League; Kell Hounds; Magistracy of Canopus; Mercenary; Pirates; Wolf's Dragoons; Word of Blake,Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Oriente Protectorate); Magistracy of Canopus; Marian Hegemony; Mercenary; Republic of the Sphere,Free Worlds League; Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Oriente Protectorate); Magistracy of Canopus; Marian Hegemony; Republic of the Sphere,Free Worlds League; Magistracy of Canopus; Marian Hegemony
87,Archer ARC-9K,BattleMech,70,,,,,,,Clan Nova Cat; Draconis Combine,Draconis Combine,Draconis Combine,
6875,Archer ARC-9KC,BattleMech,70,,,,,,,,Draconis Combine,Draconis Combine,Draconis Combine
88,Archer ARC-9M,BattleMech,70,,,,,,,Draconis Combine; Free Worlds League; Lyran Alliance; Mercenary; Word of Blake,Draconis Combine; Free Worlds League (Duchy of Andurien); Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Non-Aligned Worlds); Free Worlds League (Oriente Protectorate); Free Worlds League (Regulan Fiefs); Free Worlds League (Rim Commonality); Lyran Commonwealth; Mercenary; Republic of the Sphere,Clan Sea Fox; Draconis Combine; Free Worlds League; Free Worlds League (Duchy of Andurien); Free Worlds League (Duchy of Tamarind-Abbey); Free Worlds League (Marik-Stewart Commonwealth); Free Worlds League (Oriente Protectorate); Free Worlds League (Regulan Fiefs); Free Worlds League (Rim Commonality); Lyran Commonwealth; Magistracy of Canopus; Republic of the Sphere,Clan Sea Fox; Draconis Combine; Free Worlds League; Free Worlds League (Duchy of Andurien); Lyran Commonwealth; Magistracy of Canopus; Tamar Pact
7732,Archer ARC-9R,BattleMech,70,,,,,,,,,Republic of the Sphere,Clan Sea Fox; Draconis Combine; Federated Suns; Free Worlds League
89,Archer ARC-9W,BattleMech,70,,,,,,,Word of Blake,Republic of the Sphere,Republic of the Sphere,
5523,Archer Artillery Bunker  ,Building,150,,,Inner Sphere General; Periphery General,Inner Sphere General; Periphery General,Inner Sphere General; Periphery General,Inner Sphere General; Periphery General,Inner Sphere General; Periphery General,Inner Sphere General; Periphery General,Inner Sphere General; Periphery General,Inner Sphere General; Periphery General
90,Archer C,BattleMech,70,,HW Clan General,HW Clan General,Clan Blood Spirit; Clan Cloud Cobra; Clan Coyote; Clan Fire Mandrill; Clan Goliath Scorpion; Clan Jade Falcon; Clan Star Adder; Clan Wolf,Clan Cloud Cobra; Clan Fire Mandrill; Clan Goliath Scorpion; Clan Star Adder; Draconis Combine; Federated Commonwealth; Federated Suns; IS Clan General; Lyran Alliance; Lyran Commonwealth,Clan Cloud Cobra; Clan Fire Mandrill; Clan Goliath Scorpion; Clan Star Adder; Clan Wolf; Clan Wolf (in Exile); Draconis Combine; Federated Commonwealth; Federated Suns; IS Clan General; Lyran Alliance,Clan Burrock; Clan Cloud Cobra; Clan Fire Mandrill; Clan Goliath Scorpion; Clan Star Adder; Clan Wolf; Clan Wolf (in Exile); Draconis Combine; Federated Suns; IS Clan General; Lyran Alliance,Clan Wolf; Raven Alliance,Clan Wolf; Raven Alliance,Insufficient Data
8387,Archer C 2,BattleMech,70,,,,,,Wolf's Dragoons,Kell Hounds; Wolf's Dragoons,Kell Hounds; Wolf's Dragoons,Clan Jade Falcon; Kell Hounds; Wolf's Dragoons,Alyina Mercantile League; Clan Jade Falcon; Kell Hounds; Wolf's Dragoons
91,Arctic Fox AF1,BattleMech,30,,,,,Clan Wolf (in Exile); Kell Hounds; Mercenary; Wolf's Dragoons,Clan Nova Cat; Clan Wolf (in Exile); Kell Hounds; Mercenary; Wolf's Dragoons,Clan Nova Cat; Clan Wolf (in Exile); Kell Hounds; Mercenary; Wolf's Dragoons,Clan Nova Cat; Clan Wolf (in Exile); Kell Hounds; Lyran Commonwealth; Mercenary; Republic of the Sphere; Wolf's Dragoons,Clan Nova Cat; Clan Sea Fox; Clan Wolf (in Exile); Kell Hounds; Lyran Commonwealth; Republic of the Sphere; Wolf's Dragoons,Clan Sea Fox; Kell Hounds; Lyran Commonwealth
92,Arctic Fox AF1A,BattleMech,30,,,,,Clan Wolf (in Exile); Kell Hounds; Mercenary; Wolf's Dragoons,Clan Nova Cat; Clan Wolf (in Exile); Kell Hounds; Mercenary; Wolf's Dragoons,Clan Nova Cat; Clan Wolf (in Exile); Kell Hounds; Mercenary; Wolf's Dragoons,Clan Nova Cat; Clan Wolf (in Exile); Kell Hounds; Lyran Commonwealth; Mercenary; Republic of the Sphere; Wolf's Dragoons,Clan Nova Cat; Clan Sea Fox; Clan Wolf (in Exile); Kell Hounds; Lyran Commonwealth; Republic of the Sphere; Wolf's Dragoons,Clan Sea Fox; Kell Hounds; Lyran Commonwealth
93,Arctic Fox AF1B,BattleMech,30,,,,,Clan Wolf (in Exile); Kell Hounds; Mercenary; Wolf's Dragoons,Clan Nova Cat; Clan Wolf (in Exile); Kell Hounds; Mercenary; Wolf's Dragoons,Clan Nova Cat; Clan Wolf (in Exile); Kell Hounds; Mercenary; Wolf's Dragoons,Clan Nova Cat; Clan Wolf (in Exile); Kell Hounds; Lyran Commonwealth; Mercenary; Republic of the Sphere; Wolf's Dragoons,Clan Nova Cat; Clan Sea Fox; Clan Wolf (in Exile); Kell Hounds; Lyran Commonwealth; Republic of the Sphere; Wolf's Dragoons,Clan Sea Fox; Kell Hounds; Lyran Commonwealth
94,Arctic Fox AF1C,BattleMech,30,,,,,Clan Wolf (in Exile); Kell Hounds; Mercenary; Wolf's Dragoons,Clan Nova Cat; Clan Wolf (in Exile); Kell Hounds; Mercenary; Wolf's Dragoons,Clan Nova Cat; Clan Wolf (in Exile); Kell Hounds; Mercenary; Wolf's Dragoons,Clan Nova Cat; Clan Wolf (in Exile); Kell Hounds; Lyran Commonwealth; Mercenary; Republic of the Sphere; Wolf's Dragoons,Clan Nova Cat; Clan Sea Fox; Clan Wolf (in Exile); Kell Hounds; Lyran Commonwealth; Republic of the Sphere; Wolf's Dragoons,Clan Sea Fox; Kell Hounds; Lyran Commonwealth
95,Arctic Fox AF1D,BattleMech,30,,,,,Clan Wolf (in Exile); Kell Hounds; Mercenary; Wolf's Dragoons,Clan Nova Cat; Clan Wolf (in Exile); Kell Hounds; Mercenary; Wolf's Dragoons,Clan Nova Cat; Clan Wolf (in Exile); Kell Hounds; Mercenary; Wolf's Dragoons,Clan Nova Cat; Clan Wolf (in Exile); Kell Hounds; Lyran Commonwealth; Mercenary; Republic of the Sphere; Wolf's Dragoons,Clan Nova Cat; Clan Sea Fox; Clan Wolf (in Exile); Kell Hounds; Lyran Commonwealth; Republic of the Sphere; Wolf's Dragoons,Clan Sea Fox; Kell Hounds; Lyran Commonwealth
96,Arctic Fox AF1E,BattleMech,30,,,,,,,Clan Wolf (in Exile); Kell Hounds; Wolf's Dragoons,Clan Nova Cat; Clan Wolf (in Exile); Kell Hounds; Lyran Commonwealth; Mercenary; Republic of the Sphere; Wolf's Dragoons,Clan Nova Cat; Clan Sea Fox; Clan Wolf (in Exile); Kell Hounds; Lyran Commonwealth; Republic of the Sphere; Wolf's Dragoons,Clan Sea Fox; Kell Hounds; Lyran Commonwealth
97,Arctic Fox AF1F,BattleMech,30,,,,,,,Clan Wolf (in Exile); Kell Hounds; Wolf's Dragoons,Clan Nova Cat; Clan Wolf (in Exile); Kell Hounds; Lyran Commonwealth; Mercenary; Republic of the Sphere; Wolf's Dragoons,Clan Nova Cat; Clan Sea Fox; Clan Wolf (in Exile); Kell Hounds; Lyran Commonwealth; Republic of the Sphere; Wolf's Dragoons,Clan Sea Fox; Kell Hounds; Lyran Commonwealth
98,Arctic Fox AF1U,BattleMech,30,,,,,,,Clan Nova Cat; Clan Wolf (in Exile); Kell Hounds; Mercenary; Wolf's Dragoons,Clan Nova Cat; Clan Wolf (in Exile); Kell Hounds; Lyran Commonwealth; Mercenary; Republic of the Sphere; Wolf's Dragoons,Clan Nova Cat; Clan Sea Fox; Clan Wolf (in Exile); Kell Hounds; Lyran Commonwealth; Republic of the Sphere; Wolf's Dragoons,Clan Sea Fox; Kell Hounds; Lyran Commonwealth
99,Arctic Wolf  ,BattleMech,40,,,,,Clan Wolf (in Exile),Clan Ghost Bear; Clan Nova Cat; Clan Wolf (in Exile),Clan Ghost Bear; Clan Nova Cat; Clan Wolf (in Exile),Clan Hell's Horses; Clan Nova Cat; Clan Wolf (in Exile); Kell Hounds,Clan Hell's Horses; Clan Nova Cat; Clan Wolf (in Exile); Kell Hounds,
100,Arctic Wolf 2,BattleMech,40,,,,,Clan Wolf (in Exile),Clan Ghost Bear; Clan Nova Cat; Clan Wolf (in Exile),Clan Ghost Bear; Clan Nova Cat; Clan Wolf (in Exile),Clan Wolf (in Exile),Clan Wolf (in Exile),
101,Arctic Wolf A,BattleMech,40,,,,,,Clan Wolf (in Exile),Clan Ghost Bear; Clan Wolf (in Exile),Clan Wolf (in Exile); Kell Hounds; Rasalhague Dominion; Republic of the Sphere; Wolf's Dragoons,Clan Jade Falcon; Clan Wolf (in Exile); Kell Hounds; Rasalhague Dominion; Republic of the Sphere; Wolf's Dragoons,Clan Jade Falcon; Star League (Clan Wolf)
8155,Arctic Wolf II (Lana),BattleMech,40,,,,,,,,,Clan Wolf (in Exile); Unique,Star League (Clan Wolf); Unique
104,Arctic Wolf II A,BattleMech,40,,,,,,,,Clan Wolf (in Exile); Kell Hounds,Clan Hell's Horses; Clan Jade Falcon; Clan Sea Fox; Clan Wolf (in Exile); Kell Hounds; Lyran Commonwealth; Rasalhague Dominion,Clan Hell's Horses; Clan Sea Fox; Kell Hounds; Lyran Commonwealth; Rasalhague Dominion; Star League (Clan Wolf)
105,Arctic Wolf II B,BattleMech,40,,,,,,,,Clan Wolf (in Exile); Kell Hounds,Clan Hell's Horses; Clan Jade Falcon; Clan Sea Fox; Clan Wolf (in Exile); Kell Hounds,Clan Hell's Horses; Clan Sea Fox; Kell Hounds; Rasalhague Dominion; Star League (Clan Wolf)
106,Arctic Wolf II C,BattleMech,40,,,,,,,,Clan Wolf (in Exile); Kell Hounds,Clan Hell's Horses; Clan Jade Falcon; Clan Sea Fox; Clan Wolf (in Exile); Kell Hounds; Rasalhague Dominion,Clan Hell's Horses; Clan Sea Fox; Kell Hounds; Rasalhague Dominion; Star League (Clan Wolf)
107,Arctic Wolf II Prime,BattleMech,40,,,,,,,,Clan Wolf (in Exile); Kell Hounds,Clan Hell's Horses; Clan Jade Falcon; Clan Sea Fox; Clan Wolf (in Exile); Kell Hounds; Lyran Commonwealth,Clan Hell's Horses; Clan Sea Fox; Kell Hounds; Lyran Commonwealth; Rasalhague Dominion; Star League (Clan Wolf)
102,Arctic Wolf J,BattleMech,40,,,,,,,Clan Ghost Bear; Clan Wolf (in Exile),Clan Wolf (in Exile); Kell Hounds; Rasalhague Dominion; Republic of the Sphere; Wolf's Dragoons,Clan Jade Falcon; Clan Wolf (in Exile); Kell Hounds; Rasalhague Dominion; Republic of the Sphere; Wolf's Dragoons,Clan Jade Falcon; Star League (Clan Wolf)
103,Arctic Wolf Prime,BattleMech,40,,,,,,Clan Wolf (in Exile),Clan Ghost Bear; Clan Wolf (in Exile),Clan Wolf (in Exile); Kell Hounds; Rasalhague Dominion; Republic of the Sphere; Wolf's Dragoons,Clan Jade Falcon; Clan Wolf (in Exile); Kell Hounds; Rasalhague Dominion; Republic of the Sphere; Wolf's Dragoons,Clan Jade Falcon; Star League (Clan Wolf)
6685,Ares ARS-V1 Zeus,BattleMech,135,,,,,,,,,Republic of the Sphere,Clan Sea Fox; Federated Suns; Free Worlds League; Star League (Clan Wolf)
6686,Ares ARS-V1A Hera,BattleMech,135,,,,,,,,,Republic of the Sphere,Clan Sea Fox; Federated Suns; Free Worlds League; Star League (Clan Wolf)
6687,Ares ARS-V1B Hades,BattleMech,135,,,,,,,,,Republic of the Sphere,Clan Sea Fox; Federated Suns; Free Worlds League; Star League (Clan Wolf)
